input,ground_truth
GB7691—2025标准的实施日期是什么时候？,GB7691—2025标准的实施日期是2026年5月1日。
GB7691—2025标准替代了哪个旧版本的标准？,GB7691—2025标准代替了GB7691—2003标准。
《涂装作业安全管理通则》的中文标准编号是多少？,《涂装作业安全管理通则》的中文标准编号是GB7691—2025。
发布GB7691—2025标准的机构有哪些？,发布GB7691—2025标准的机构是国家市场监督管理总局和国家标准化管理委员会。
GB7691—2025与GB7691—2003相比，在适用范围方面做了哪些主要技术更改？,GB7691—2025更改了适用范围，删除了原文件中关于本文件参照执行的范围。
GB7691—2025标准中新增了哪些术语和定义？,GB7691—2025增加了“涂装作业”和“涂装作业场所”两个术语和定义，分别见于第3.1条和第3.2条。
在职业健康管理方面，GB7691—2025相较于2003版有哪些变化？,GB7691—2025更改了职业健康管理的要求，相关内容见于第4.7条，而2003年版对应的是第18章。
GB7691—2025对涂装设备的运行维护提出了什么要求？,GB7691—2025更改了涂装设备运行维护的要求，相关内容见于第7.14和7.15条，替代了2003年版的第13章。
本文件GB7691—2025适用于哪些涂装作业的安全管理？,本文件适用于使用涂料及有关化学品在金属或非金属表面进行涂装作业的安全管理。
本文件由哪个机构提出并归口？,本文件由中华人民共和国应急管理部提出并归口。
GB7691标准首次发布和第二次修订的时间分别是何时？,GB7691标准于1987年首次发布，本次为第二次修订（即2025版）。
规范性引用文件中，哪项标准规定了危险货物品名表？,规范性引用文件中，GB12268《危险货物品名表》规定了危险货物品名表。
根据GB7691—2025，涂装作业场所是否需要设置安全标志？依据哪些标准？,是的，涂装作业场所（包括临时设置的涂装作业场所）应按GB2894和GB15630的规定设置安全标志。
在公共场所进行涂装作业时，应优先选用哪类涂料以减少健康危害？,在学校、医院、商场、宾馆、交通车站等公共场所及有限空间进行涂装作业时，应优先选用挥发性有机物含量低的涂料，如粉末涂料、水性涂料、高固体分涂料、光固化涂料等。
涂装企业应如何为从业人员配备个体防护装备？,涂装企业应按照GB39800.1《个体防护装备配备规范 第1部分：总则》的规定，为从业人员配备与岗位安全风险相适应的个体防护装备，并监督、指导员工正确穿戴。
使用单位购买涂料及相关化学品时，必须具备哪些安全信息文件？,使用单位在购买涂料及有关化学品时，所购产品应具有化学品安全技术说明书和安全标签。
在公共场所及有限空间进行涂装作业时，应优先选用哪类涂料？,应优先选用挥发性有机物含量低的涂料，如粉末涂料、水性涂料、高固体分涂料、光固化涂料等。
使用单位在购买涂料及相关化学品时，必须获取哪些安全资料？,所购产品应具有化学品安全技术说明书和安全标签。
根据标准，哪些涂装工艺在作业中被明确禁止使用？,禁止使用的涂装工艺包括：用苯脱漆或清洗；使用游离二氧化硅含量80%以上的石英砂干喷砂除锈；敞开式、无防护的火焰法除旧漆；使用汽油、甲苯、二甲苯进行大面积除油、除旧漆；无有效通风时喷涂含苯涂料或使用含苯溶剂；无有效通风时采用二氯乙烷除油清洗和酸洗、抛丸（喷砂）除锈。
危险化学品仓库储存涂料时应满足哪些安全要求？,涂料等危险化学品应储存在符合GB15603规定的危险化学品仓库或专用储存柜中；仓库应隔绝火源，设置防潮、防雨淋设施；易燃易爆场所严禁烟火；库内应有隔热、降温、通风措施；电气设备应为防爆型；消防设施齐全，通道畅通，并符合GB50016的规定。
涂装工艺文件应按照什么规定周期进行评估？,涂装工艺文件应按企业安全管理制度规定的评定周期开展评估。
当涂装设备或涂料发生变更时，对涂装工艺文件有什么要求？,涂装工艺、涂装设备及器械、涂料及有关化学品变更时，应同时修改涂装工艺文件中的相关安全技术内容。
涂装设备日常运行维护检查应包括哪些内容？,涂装设备日常运行维护检查应包括：通风系统运行状况；防爆电气设备运行状况；接地可靠性；电气线路完好状况；自动联锁控制和信号、报警装置运行状况；应急设备、设施状态、功能、位置和可用性是否符合企业应急设备、设施清单及作业规程要求；设备运行记录中发现的问题是否及时处理。
涂装作业场所设置消防器材应依据哪些标准？,涂装作业场所应按照GB50140、GB50444的规定设置消防器材。
涂装作业场所是否需要进行防雷、防静电检测？,是的，涂装作业场所应进行防雷、防静电检测。
在可能散发可燃气体及粉尘的涂装作业场所中，是否可以堆放易燃、易爆物品？,不可以，可能散发可燃气体及粉尘的涂装作业场所不应堆放易燃、易爆物品。
进行有限空间涂装作业时，如果作业中断超过30分钟，再次进入前应采取什么措施？,作业中断超过30分钟，作业人员再次进入有限空间作业前，应当重新进行气体浓度检测，合格后方可再次进入。
含有化学清洗的涂装作业场所应设置何种应急设施？,应设置事故应急冲洗设施，并保证作业时间不间断。
