input,ground_truth
GB46519—2025标准中规定的电动汽车供电设备能效等级相关内容在哪个章节？,GB46519—2025标准中关于电动汽车供电设备能效等级的内容在第4章。
直流供电设备的能效测试方法在GB46519—2025的哪个附录中规定？,直流供电设备的能效测试方法在GB46519—2025的附录A（规范性）中规定。
GB46519—2025标准由哪个机构提出并归口？,GB46519—2025标准由国家标准化管理委员会提出并归口。
交流供电设备待机功耗的测试方法在GB46519—2025的哪个部分有详细说明？,交流供电设备待机功耗的测试方法在GB46519—2025的附录B（规范性）中有详细说明。
本文件适用于哪些类型的电动汽车供电设备？,本文件适用于供电网侧额定电压不超过1000V(AC)，电动汽车侧额定电压不超过1000V(AC)或1500V(DC)，电流控制和/或电压控制的非车载传导式供电设备，包括直流供电设备（模式4，连接方式C）和交流供电设备（模式3，连接方式B或C）。
本文件不适用于哪些类型的供电设备？,本文件不适用于：供电网侧仅提供直流供电的供电设备；模式2充电的缆上控制与保护装置(IC-CPD)；交直流一体式供电设备；禁用储能功能后不具备充电功能的充储一体化设备；自动充电以及顶部或底部接触式充电的供电设备。
什么是分体式直流供电设备？,分体式直流供电设备是指将包含功率变换单元的功率柜与充电终端在结构上分开，二者间通过电缆连接的直流供电设备。
一体式直流供电设备的定义是什么？,一体式直流供电设备是指将功率变换单元、充电终端功能相关组件等组成单元放置于一个柜（箱）体内，在结构上成为一体的直流供电设备。
一体式直流供电设备的能效等级分为几级？哪一级能效最高？,一体式直流供电设备的能效等级分为3级，其中1级能效最高。
分体式直流供电设备中的功率柜主要由哪些部分组成？,功率柜通常由功率变换单元（充电模块）、动力电源输入、控制部件、散热系统组成，部分产品还包含输出开关单元、温度、湿度、烟雾检测等部件。
充电终端在电动汽车充电过程中包含哪些主要组成部分？,充电终端通常由充电电缆、车辆插头、人机交互界面、计量部件组成，部分产品还包含通信、控制等部件。
什么是直流供电设备的待机功耗？,待机功耗是指供电设备处于待机模式时的交流输入有功功率，即在无车辆充电和人员操作时，仅保留后台通信、状态指示灯等基本功能所消耗的功率。
一体式直流供电设备在1级能效等级下的充电效率最低要求是多少？,一体式直流供电设备在1级能效等级下的充电效率最低要求是96.5%。
