input,ground_truth
GB21668—2025标准的实施日期是什么时候？,GB21668—2025标准的实施日期是2026年7月1日。
GB21668—2025标准替代了哪些旧的标准？,GB21668—2025标准代替了GB20300—2018、GB21668—2008和GB36220—2018。
危险货物运输车辆安全技术条件这一标准的英文名称是什么？,该标准的英文名称是Safety technical specifications of vehicles for the carriage of dangerous goods。
附录C的名称是什么，其主要内容涉及什么？,附录C的名称是‘橙色反光带、安全标示牌和限速标识在车辆上的装用要求及示例’，主要内容涉及这些安全标识在车辆上的安装技术要求和布置示例。
本文件替代了哪些旧版标准？,本文件替代了GB20300—2018《道路运输爆炸品和剧毒化学品车辆安全技术条件》、GB21668—2008《危险货物运输车辆结构要求》和GB36220—2018《运油车辆和加油车辆安全技术条件》。
新增了哪些术语及其定义？,新增了术语“危险货物运输车辆”“危险货物运输货车”“常压罐式危险货物运输车辆”“承压罐式危险货物运输车辆”“医疗废物”“轻质燃油”“控制温度”“容积”“燃烧加热器”“危险货物车辆标志”“安全标示牌”“电控车辆稳定控制系统”及其定义。
关于安全标示牌，本文件有哪些更新？,本文件更改了安全标示牌的样式和要求，并将其列入第5.9.4条和附录B中，原内容见GB20300—2018的附录B。
在车辆主动安全装置方面，本文件增加了哪些配备要求？,本文件增加了轮胎气压监测系统、禁止车轴提升、电子稳定性控制系统以及主动安全装置的配备要求，具体见第5.1.6、5.1.8、5.1.10~5.1.13条。
GB21668—2025文件中新增了哪些关于装卸阀门位置的要求？,GB21668—2025在6.2.2.3和6.2.3.3条款中增加了对装卸阀门位置的要求。
与前一版本相比，GB21668—2025在专用部件及系统方面做了哪些修改？,GB21668—2025更改了专用部件及系统的内容，相关内容见6.2.2.4和6.2.2.5，对应原GB36220—2018的4.2条款。
GB21668—2025标准中新增了哪些针对危险货物运输车辆的专项要求？,GB21668—2025新增了危险货物集装箱运输车辆、CT型车辆、用于运输特定类项危险货物的车辆，以及用于危险货物运输的纯电动汽车的专项要求，详见6.3至6.6章节。
GB21668标准本次发布是第几次修订？,GB21668于2008年首次发布，本次GB21668—2025为第一次修订。
GB21668标准是哪一年首次发布的？,GB21668于2008年首次发布。
GB21668—2025适用于哪些类型的车辆？,GB21668—2025适用于运输危险货物的N类车辆、O类半挂车以及半挂汽车列车。
本文件归口单位是哪个机构？,本文件由中华人民共和国工业和信息化部提出并归口。
在GB21668—2025中，引用了哪些与爆炸性环境相关的国家标准？,在GB21668—2025中，引用了GB/T3836.1、GB/T3836.2、GB/T3836.3、GB/T3836.4和GB/T3836.9等与爆炸性环境相关的国家标准。
GB18564.1标准适用于哪种类型的罐体技术要求？,GB18564.1适用于道路运输液体危险货物罐式车辆的金属常压罐体技术要求。
关于汽车行驶记录仪的标准是哪一个？,关于汽车行驶记录仪的标准是GB/T19056。
QC/T1063规定了道路运输轻质燃油罐式车辆的哪一部分的技术要求？,QC/T1063规定了道路运输轻质燃油罐式车辆油气回收组件的技术要求。
ISO19642-5:2019标准中规定的电缆最高直流电压是多少？,ISO19642-5:2019标准中规定的电缆最高直流电压是1500V。
ISO19642-7:2019 标准适用于哪种电压等级和导体类型的汽车电缆？,ISO19642-7:2019 标准适用于交流30V或直流60V、圆形、护套、屏蔽或非屏蔽的多芯或单芯铜导体汽车电缆。
根据文档内容，危险货物的定义主要依据哪些标准或文件？,危险货物的定义主要依据 GB12268 和《国家危险废物名录》中列明的物质和物品；未列入的，以有关法律、行政法规的规定或国务院有关部门公布的结果为准。
常压罐式危险货物运输车辆在正常运输过程中的罐体工作压力有何要求？,常压罐式危险货物运输车辆在正常运输过程中，罐体工作压力应小于0.1MPa（表压）。
ISO19642-9:2019 标准规定的电缆适用于哪些电压范围和导体材料？,ISO19642-9:2019 标准适用于交流600V或直流900V以及交流1000V或直流1500V的圆形、护套、屏蔽或非屏蔽的多芯或单芯铜导体电缆。
根据文档，FL型车辆可以运输哪些类型的危险货物？,FL型车辆用于运输易燃气体、闪点不高于60℃的液体、符合GB19147规定的车用柴油或列入联合国编号UN1202的油品，以及稳定的过氧化氢或其水溶液（质量分数大于60%）的危险货物。
什么是‘控制温度’在危险货物运输中的定义？,控制温度是指有机过氧化物、自反应物质或聚合物能够安全运输的最高温度。
承压罐式危险货物运输车辆与普通罐式车辆的主要区别是什么？,承压罐式危险货物运输车辆使用移动式压力容器盛装危险货物，且该容器与定型汽车底盘或行走机构永久性连接；而普通罐式车辆在正常运输过程中罐体工作压力小于0.1MPa（表压）。
危险货物车辆标志和安全标示牌分别提供什么信息？,危险货物车辆标志是标明车辆所载货物危险性质信息的标志牌；安全标示牌则标明车辆所载危险货物的名称、危险性、施救方法和托运人联系方式等信息。
FL型危险货物运输车辆的载货容器有哪些要求？,FL型车辆的载货容器为容积大于或等于1m³的罐式车辆罐体、容积大于或等于3m³的罐式集装箱或者可移动罐柜。
运输剧毒化学品的车辆在车辆类型上有何特殊要求？,运输剧毒化学品的车辆应为罐式车辆或货厢为独立封闭厢体的车辆。
N2类和N3类危险货物运输货车需要安装哪些主动安全系统？,N2类和N3类危险货物运输货车应安装电子稳定性控制系统（ESC）、自动紧急制动系统（AEBS），并且所有转向轮应安装爆胎应急安全装置。
